trial,failed,error,train_sessions,val_sessions,session_norm,crop_first,crop_last,unstable_remove,gauss_sigma,win,step,b,include_mean,include_var,include_energy_sigmoid,early_stopping,validation_fraction,random_state,use_pca,pca_components,learning_rate,max_iter,max_leaf_nodes,max_depth,min_samples_leaf,l2_regularization,n_iter_no_change,train_mse,train_rmse,train_mae,train_r2,val_mse,val_rmse,val_mae,val_r2,train_time_s,actual_n_iter
82,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,15,8,200,1.0,30,25.71600439496309,5.0710949897397,3.4987348034824786,0.9829753998665607,406.2941714141452,20.15674009888864,16.508798850603764,0.6773592383023896,13.070002800086513,3000
119,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,31,12,200,10.0,30,11.264209042389755,3.356219456827839,2.285345562816024,0.9925428285117374,406.6740174497151,20.16616020589232,16.534710635509,0.6770576001720234,22.3607790999813,3000
479,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,31,12,200,10.0,30,11.264209042389755,3.356219456827839,2.285345562816024,0.9925428285117374,406.6740174497151,20.16616020589232,16.534710635509,0.6770576001720234,17.801443199859932,3000
136,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,63,12,50,1.0,30,2.421567044863938,1.556138504396038,1.0598113952273622,0.9983968656249259,406.6968839957398,20.166727151318824,16.49135866697259,0.6770394417037364,37.10326190001797,3000
496,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,63,12,50,1.0,30,2.421567044863938,1.556138504396038,1.0598113952273622,0.9983968656249259,406.6968839957398,20.166727151318824,16.49135866697259,0.6770394417037364,28.88526999996975,3000
444,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,15,8,200,20.0,30,26.638217687181335,5.16122249929039,3.5637824999612486,0.982364872962901,406.7977595813807,20.169228036327535,16.44677290916187,0.6769593357655326,11.95696820016019,3000
84,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,15,8,200,20.0,30,26.638217687181335,5.16122249929039,3.5637824999612486,0.982364872962901,406.7977595813807,20.169228036327535,16.44677290916187,0.6769593357655326,13.216752400039695,3000
50,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,63,8,20,10.0,30,4.421492098828942,2.1027344337383505,1.3856406386436344,0.9970728681711352,407.0127521798077,20.17455705039909,16.54573618240845,0.6767886087883909,30.627397199976258,3000
410,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,63,8,20,10.0,30,4.421492098828942,2.1027344337383505,1.3856406386436344,0.9970728681711352,407.0127521798077,20.17455705039909,16.54573618240845,0.6767886087883909,24.398457700153813,3000
111,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,31,12,20,20.0,30,10.897864682807171,3.3011914035401175,2.2684121838466504,0.9927853570996643,407.0638248021214,20.175822778814286,16.578862963941194,0.6767480516971881,24.162835899973288,3000
